"","trial","estimate.Estimate","estimate.Std. Error","estimate.z value","estimate.Pr(>|z|)","var"
"f1.riskgroup_MSM69","Omitting Liu_2020",0.445264703112465,0.22385540361219,1.98907283866083,0.0466931638227877,"Riskgroup"
"f1.riskgroup_MTC69","Omitting Liu_2020",0.475387658958308,0.321117448491535,1.48041677956606,0.138762054750716,"Riskgroup"
"f1.riskgroup_PWID69","Omitting Liu_2020",0.92773941010744,0.369170567345831,2.51303731166183,0.0119696674657896,"Riskgroup"
"f2.(Intercept)","Omitting Wolinsky_1992",-1.28382452304379,0.196359969968752,-6.53811733240788,6.2298044075947e-11,"Reported Exposure"
"f2.reported.exposure_HSX:FTM","Omitting Wolinsky_1992",-0.638510126854021,0.233961881547353,-2.72912032776924,0.0063503527667257,"Reported Exposure"
"f2.reported.exposure_HSX:nodirection","Omitting Wolinsky_1992",0.595228464398721,0.620578132333406,0.959151528850413,0.3374824147696,"Reported Exposure"
"f2.reported.exposure_MSM","Omitting Wolinsky_1992",0.285918863888005,0.239641729084193,1.19310966825629,0.232826425538557,"Reported Exposure"
"f2.reported.exposure_MTC:IntraP","Omitting Wolinsky_1992",0.624995338914484,0.432665159228452,1.4445243061147,0.14859154765638,"Reported Exposure"
"f2.reported.exposure_MTC:notiming","Omitting Wolinsky_1992",0.388227441892281,0.569480139052677,0.681722531251207,0.495414417611527,"Reported Exposure"
"f2.reported.exposure_MTC:PostP","Omitting Wolinsky_1992",-0.30546756919439,1.0686328453414,-0.285848942904989,0.774993820338081,"Reported Exposure"
"f2.reported.exposure_MTC:PreP","Omitting Wolinsky_1992",0.230493900063898,0.425243911435777,0.542027513775957,0.587799552053381,"Reported Exposure"
"f2.reported.exposure_PWID","Omitting Wolinsky_1992",0.735440308869362,0.376422622885057,1.9537622452993,0.0507293411633198,"Reported Exposure"
"f2.(Intercept)1","Omitting Briant_1995",-1.26644946730448,0.19285050673967,-6.5670009828601,5.13387081581034e-11,"Reported Exposure"
"f2.reported.exposure_HSX:FTM1","Omitting Briant_1995",-0.639468765474392,0.233387625033589,-2.73994289706817,0.0061449859617189,"Reported Exposure"
"f2.reported.exposure_HSX:nodirection1","Omitting Briant_1995",0.575517470456694,0.618513813794232,0.930484425119336,0.352120324510689,"Reported Exposure"
"f2.reported.exposure_MSM1","Omitting Briant_1995",0.268075011054149,0.236464599668303,1.13367925444311,0.256929114796799,"Reported Exposure"
"f2.reported.exposure_MTC:IntraP1","Omitting Briant_1995",0.619457596512338,0.424988872875355,1.45758544764069,0.144954843193975,"Reported Exposure"
"f2.reported.exposure_MTC:notiming1","Omitting Briant_1995",-0.237971373241506,0.58851664211186,-0.404357933511546,0.685949529342961,"Reported Exposure"
"f2.reported.exposure_MTC:PostP1","Omitting Briant_1995",-0.319665531289672,1.05088596516838,-0.304186697591356,0.760985658746368,"Reported Exposure"
"f2.reported.exposure_MTC:PreP1","Omitting Briant_1995",0.223629298880093,0.416612683730829,0.53677986199906,0.591419683587215,"Reported Exposure"
"f2.reported.exposure_PWID1","Omitting Briant_1995",0.718481360620835,0.370397843822934,1.93975578584712,0.0524093763409346,"Reported Exposure"
"f2.(Intercept)2","Omitting Poss_1995",-1.34647920763305,0.197757962183355,-6.80872311166233,9.84687877843832e-12,"Reported Exposure"
"f2.reported.exposure_HSX:FTM2","Omitting Poss_1995",-0.602313528973055,0.234461638921078,-2.56892143100561,0.0102015584248746,"Reported Exposure"
"f2.reported.exposure_HSX:nodirection2","Omitting Poss_1995",0.634805300969791,0.619740121834823,1.02430886528754,0.305689411924224,"Reported Exposure"
"f2.reported.exposure_MSM2","Omitting Poss_1995",0.336876269006059,0.238953720202391,1.40979713025907,0.158599594244817,"Reported Exposure"
"f2.reported.exposure_MTC:IntraP2","Omitting Poss_1995",0.698646499560374,0.427539328471119,1.63411048536455,0.102235653585171,"Reported Exposure"
"f2.reported.exposure_MTC:notiming2","Omitting Poss_1995",0.262090798587792,0.537272195514889,0.487817536019373,0.625679089189171,"Reported Exposure"
"f2.reported.exposure_MTC:PostP2","Omitting Poss_1995",-0.240252014139684,1.05351196728185,-0.228048680604507,0.819608395790152,"Reported Exposure"
"f2.reported.exposure_MTC:PreP2","Omitting Poss_1995",0.303395072532907,0.419320619484283,0.723539598186343,0.46934843525154,"Reported Exposure"
"f2.reported.exposure_PWID2","Omitting Poss_1995",0.791341294888502,0.372874977700073,2.12226977462947,0.0338150901389518,"Reported Exposure"
"f2.(Intercept)3","Omitting Wade_1998",-1.27862483682099,0.19547368063892,-6.54116110486953,6.10430288061784e-11,"Reported Exposure"
"f2.reported.exposure_HSX:FTM3","Omitting Wade_1998",-0.639123898265162,0.233809933305025,-2.73351901363135,0.00626615053792616,"Reported Exposure"
"f2.reported.exposure_HSX:nodirection3","Omitting Wade_1998",0.589317105433859,0.620078042228157,0.950391830222268,0.341913193639954,"Reported Exposure"
"f2.reported.exposure_MSM3","Omitting Wade_1998",0.280380960933452,0.23882783950138,1.17398776256079,0.240399927305322,"Reported Exposure"
"f2.reported.exposure_MTC:IntraP3","Omitting Wade_1998",0.64516776490988,0.431632252736748,1.49471630263776,0.134988497748725,"Reported Exposure"
"f2.reported.exposure_MTC:notiming3","Omitting Wade_1998",0.0200080437052336,0.553019887750707,0.0361796097182185,0.971139144431532,"Reported Exposure"
"f2.reported.exposure_MTC:PostP3","Omitting Wade_1998",-0.310124732431122,1.06361438420214,-0.291576286516431,0.770610608562851,"Reported Exposure"
"f2.reported.exposure_MTC:PreP3","Omitting Wade_1998",0.27489130776691,0.427466793066382,0.643070554779262,0.520178319720146,"Reported Exposure"
"f2.reported.exposure_PWID3","Omitting Wade_1998",0.729725048454044,0.374792701403489,1.94700976225374,0.0515335643028836,"Reported Exposure"
"f2.(Intercept)4","Omitting Long_2000",-1.39302243398989,0.202671542612846,-6.87330059282626,6.27331805989434e-12,"Reported Exposure"
"f2.reported.exposure_HSX:FTM4","Omitting Long_2000",-0.449248685319647,0.241234988541885,-1.86228659463983,0.0625627040122691,"Reported Exposure"
"f2.reported.exposure_HSX:nodirection4","Omitting Long_2000",0.680261576585278,0.622202469958444,1.0933122406774,0.274256730290371,"Reported Exposure"
"f2.reported.exposure_MSM4","Omitting Long_2000",0.385894494968067,0.243235250195509,1.58650727909664,0.112624282235121,"Reported Exposure"
"f2.reported.exposure_MTC:IntraP4","Omitting Long_2000",0.737097290496239,0.43416543517877,1.69773369958098,0.089558034313767,"Reported Exposure"
"f2.reported.exposure_MTC:notiming4","Omitting Long_2000",0.316989536651342,0.54481344790075,0.581831336713056,0.560680294117307,"Reported Exposure"
"f2.reported.exposure_MTC:PostP4","Omitting Long_2000",-0.195941368362891,1.06658421633035,-0.183709233047757,0.854241565266574,"Reported Exposure"
"f2.reported.exposure_MTC:PreP4","Omitting Long_2000",0.341566635590128,0.426618338546152,0.800637489598158,0.423341540655565,"Reported Exposure"
"f2.reported.exposure_PWID4","Omitting Long_2000",0.843184074024381,0.37848636217405,2.22777927632868,0.0258952374596131,"Reported Exposure"
"f2.(Intercept)5","Omitting Dickover_2001",-1.28778788891543,0.197686158219362,-6.51430479764014,7.3027078935514e-11,"Reported Exposure"
"f2.reported.exposure_HSX:FTM5","Omitting Dickover_2001",-0.638859897208938,0.234113825733735,-2.72884309675727,0.00635569364020186,"Reported Exposure"
"f2.reported.exposure_HSX:nodirection5","Omitting Dickover_2001",0.599658291875282,0.621342378577878,0.965101226875549,0.334494112508619,"Reported Exposure"
"f2.reported.exposure_MSM5","Omitting Dickover_2001",0.289513093902591,0.240792974169206,1.20233198207498,0.229234930495712,"Reported Exposure"
"f2.reported.exposure_MTC:IntraP5","Omitting Dickover_2001",0.736828194927431,0.464550340392583,1.58611054790047,0.112714234544706,"Reported Exposure"
"f2.reported.exposure_MTC:notiming5","Omitting Dickover_2001",0.216488465798606,0.546435285803979,0.39618317378623,0.6919699032965,"Reported Exposure"
"f2.reported.exposure_MTC:PostP5","Omitting Dickover_2001",-0.302841845915273,1.07346991333133,-0.282114889438732,0.7778554166286,"Reported Exposure"
"f2.reported.exposure_MTC:PreP5","Omitting Dickover_2001",0.191433716766651,0.462071259680103,0.41429479275379,0.678658226942431,"Reported Exposure"
"f2.reported.exposure_PWID5","Omitting Dickover_2001",0.738202513754119,0.378200216177008,1.9518828445318,0.0509521155142193,"Reported Exposure"
"f2.(Intercept)6","Omitting Delwart_2002",-1.29747277719872,0.198442401897877,-6.5382839795823,6.22286834419545e-11,"Reported Exposure"
"f2.reported.exposure_HSX:FTM6","Omitting Delwart_2002",-0.625168384977079,0.234502148334072,-2.66593883859206,0.00767736587949908,"Reported Exposure"
"f2.reported.exposure_HSX:nodirection6","Omitting Delwart_2002",0.605647588773175,0.621186103364206,0.974985733732808,0.329567336612625,"Reported Exposure"
"f2.reported.exposure_MSM6","Omitting Delwart_2002",0.297639198238913,0.240925658365294,1.23539850532495,0.216682228804976,"Reported Exposure"
"f2.reported.exposure_MTC:IntraP6","Omitting Delwart_2002",0.638949385794412,0.433573328544179,1.47368240555716,0.140567122256551,"Reported Exposure"
"f2.reported.exposure_MTC:notiming6","Omitting Delwart_2002",0.224106999023695,0.545035546230933,0.411178684717822,0.680941516753796,"Reported Exposure"
"f2.reported.exposure_MTC:PostP6","Omitting Delwart_2002",-0.292869545757586,1.06983907130547,-0.27375102818054,0.784275960224754,"Reported Exposure"
