"","coefs.Estimate","coefs.Std..Error","coefs.z.value","coefs.Pr...z..","coefs.rep","preds.covariate_level","preds.predicted","preds.std.error","preds.conf.low","preds.conf.high","preds.group","preds.label"
"reported.exposure_MTC:PostP142",-0.530989465470254,1.17502366182424,-0.451896827886755,0.651343309758854,143,"MTC:PostP",0.158779415444814,1.18374897123949,0.0182093419588226,0.657633807680798,"1","original"
"reported.exposure_MTC:PreP142",-0.432580060300625,0.353855041374512,-1.22247816117107,0.221526857562223,143,"MTC:PreP",0.172369182762996,0.42410658280836,0.083160327092903,0.323508396698914,"1","original"
"reported.exposure_PWID142",0.775896271066727,0.299690825707749,2.58898906642995,0.00962581507051578,143,"PWID",0.410850090303287,0.319853268907225,0.271435196958202,0.566220840631594,"1","original"
"(Intercept)143",-1.21912310295379,0.253335688069471,-4.81228330774885,1.49215623372377e-06,144,"HSX:MTF",0.228090804979757,0.253335688069471,0.152432070992323,0.326821961173561,"1","original"
"reported.exposure_HSX:FTM143",-0.622194523509713,0.226927704655062,-2.7418182564155,0.00611001381258606,144,"HSX:FTM",0.136895533729422,0.289527829819074,0.0825054910785151,0.218598308840231,"1","original"
"reported.exposure_HSX:nodirection143",0.184081955272728,0.577077725555811,0.318989881467752,0.749734185710691,144,"HSX:nodirection",0.262107940465771,0.598690228533021,0.0989940215060096,0.534537446765573,"1","original"
"reported.exposure_MSM143",0.240872635661271,0.200035359895601,1.2041502851645,0.22853149718687,144,"MSM",0.273239067088117,0.231300396481114,0.192850922427465,0.371704825287184,"1","original"
"reported.exposure_MTC:IntraP143",0.169005153469506,0.402348773034017,0.420046399533117,0.674451557991839,144,"MTC:IntraP",0.259202451922634,0.440055065906723,0.12868791272327,0.453230655881101,"1","original"
"reported.exposure_MTC:notiming143",-0.0945523978187544,0.507007249567907,-0.18649121467067,0.852059567688921,144,"MTC:notiming",0.211872449800407,0.488541018473099,0.0935365617447143,0.411891206878515,"1","original"
"reported.exposure_MTC:PostP143",-0.648256426871883,1.2310722510828,-0.526578701048378,0.59848618593726,144,"MTC:PostP",0.133845224039888,1.24138596243053,0.0133809584039737,0.637768590747349,"1","original"
"reported.exposure_MTC:PreP143",-0.423225217353642,0.401611371399717,-1.05381781367046,0.291966336176093,144,"MTC:PreP",0.162145779469932,0.473838718135227,0.0710246541129044,0.328794702055603,"1","original"
"reported.exposure_PWID143",0.773886903782553,0.327542408497355,2.36270749590217,0.0181419823181944,144,"PWID",0.39049399752263,0.344611599330386,0.245888413107929,0.557294762033482,"1","original"
"(Intercept)144",-1.17960780179573,0.2526204147514,-4.66948723426237,3.01952461083195e-06,145,"HSX:MTF",0.23512272184467,0.2526204147514,0.157793938676615,0.3352619499081,"1","original"
"reported.exposure_HSX:FTM144",-0.596577556646969,0.226407461915727,-2.63497303312832,0.00841439678845248,145,"HSX:FTM",0.144774804453439,0.289266653049884,0.0876127820173182,0.229836766732417,"1","original"
"reported.exposure_HSX:nodirection144",0.0642987322003317,0.579581276765012,0.11093997473352,0.911663945985414,145,"HSX:nodirection",0.246882439309545,0.606245809247172,0.0908311104070747,0.518219649991851,"1","original"
"reported.exposure_MSM144",0.256103006142366,0.194890133117938,1.31408913342671,0.188816210554793,145,"MSM",0.284244306573144,0.23611070796253,0.200003373060647,0.38681116480496,"1","original"
"reported.exposure_MTC:IntraP144",0.120305171483382,0.401703829374596,0.299487240812922,0.764568305901503,145,"MTC:IntraP",0.257442745504067,0.438764247042041,0.127943578430732,0.450329243145572,"1","original"
"reported.exposure_MTC:notiming144",-0.131983316379586,0.498273246039269,-0.264881402781927,0.791100825208356,145,"MTC:notiming",0.212220714278759,0.491058077463946,0.0932952849849589,0.413592203817612,"1","original"
"reported.exposure_MTC:PostP144",-13.6552000774079,849.815137528571,-0.0160684359155097,0.987179794753836,145,"MTC:PostP",3.60848281411288e-07,849.815140214519,2.22044604925031e-16,1,"1","original"
"reported.exposure_MTC:PreP144",-0.521087553271431,0.404399367825042,-1.28854690370553,0.197555652642371,145,"MTC:PreP",0.154374469534626,0.474168795747292,0.0672293703954756,0.316188964277126,"1","original"
"reported.exposure_PWID144",0.754435459643831,0.317492506886648,2.37623075593776,0.0174905208274854,145,"PWID",0.39527971896678,0.347415793831236,0.248599657849986,0.563591287109682,"1","original"
"(Intercept)145",-0.986262772392526,0.246884054425352,-3.99484192969916,6.47374299157088e-05,146,"HSX:MTF",0.271650881748367,0.246884054425352,0.186920328345121,0.376981777467296,"1","original"
"reported.exposure_HSX:FTM145",-0.590968874470567,0.227757565538059,-2.59472774515503,0.00946658728810433,146,"HSX:FTM",0.171187905720229,0.284022111073575,0.10584486968124,0.264918618314128,"1","original"
"reported.exposure_HSX:nodirection145",0.292331419926154,0.54050489514726,0.540848792584031,0.588611808705057,146,"HSX:nodirection",0.333159095690656,0.561795824827552,0.142457022963758,0.60040867975862,"1","original"
"reported.exposure_MSM145",0.208925357550177,0.194780890558627,1.07261732375791,0.283442848753261,146,"MSM",0.314894017629086,0.226516678477989,0.227707413322915,0.417420175764597,"1","original"
"reported.exposure_MTC:IntraP145",0.0884254029222441,0.388254322108334,0.227751239038547,0.81983963604557,146,"MTC:IntraP",0.28949512128025,0.424954265089379,0.15049391864659,0.483770125025046,"1","original"
"reported.exposure_MTC:notiming145",-0.359713006645285,0.496115685236804,-0.725058725917097,0.468416003881179,146,"MTC:notiming",0.206529061443317,0.480591641259196,0.0921285351240636,0.400343642068633,"1","original"
"reported.exposure_MTC:PostP145",-0.0578764959489749,0.983084079659163,-0.0588723763780619,0.953053760334286,146,"MTC:PostP",0.260352109276184,0.990208611968337,0.0481121497381557,0.710257287099909,"1","original"
"reported.exposure_MTC:PreP145",-0.386247143549847,0.383957817650586,-1.00596244116937,0.314433637622468,146,"MTC:PreP",0.20221463441345,0.452344603134139,0.0945683406795198,0.380852638086619,"1","original"
"reported.exposure_PWID145",0.587553322532247,0.324048240468501,1.81316621772973,0.0698061885397188,146,"PWID",0.401622447879273,0.347519794855244,0.25353710417342,0.570138642632663,"1","original"
"(Intercept)146",-1.01621664593572,0.229485665855926,-4.42823582094108,9.50069934800816e-06,147,"HSX:MTF",0.265765006882305,0.229485665855926,0.187551312156344,0.36206029684541,"1","original"
"reported.exposure_HSX:FTM146",-0.620670546926304,0.224420951054253,-2.76565331360822,0.00568088941526654,147,"HSX:FTM",0.162889067916803,0.26638153761034,0.103494550481057,0.246979154379967,"1","original"
